CID,MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
2744814,473.4,5.6,471.998609,471.998609,121,559,0,1,6,6,30,0,0,0,0,0,0,0,1,341.3,9.21,5.63,1.97,9,3,1,0,1,4,0,1,7,10
2821293,510,4.9,509.035865,509.035865,126,670,0,1,9,6,33,0,0,0,0,0,0,0,1,360.6,12.71,5.23,1.68,9,3,1,0,1,4,0,1.2,8,10
2820912,519.1,6.3,518.013024,518.013024,175,627,0,1,8,7,32,0,0,0,0,0,0,0,1,376.7,9.56,5.75,2.12,10,3,1,0,1,4,1,1,8,10
2820914,519.1,6.3,518.013024,518.013024,175,635,0,1,8,7,32,0,0,0,0,0,0,0,1,376.8,9.01,5.52,2.36,10,3,1,0,1,4,1,1.2,8,10
2744846,460,4.4,459.004901,459.004901,162,554,0,1,8,6,29,0,0,0,0,0,0,0,1,332.3,10.12,5.41,1.57,10,4,1,0,1,4,0,1,7,10
2745617,422.9,4.4,422.060425,422.060425,106,529,0,1,6,6,29,0,0,0,0,0,0,0,1,316.6,10.38,5.83,1.05,9,3,1,0,1,4,0,1,7,10
2745640,525.3,5.9,524.008837,524.008837,106,687,0,1,9,6,34,0,0,0,0,0,0,0,1,368.4,11.83,6,1.32,9,3,1,0,1,4,0,1,8,10
2745653,457.3,5,456.021452,456.021452,106,567,0,1,6,6,30,0,0,0,0,0,0,0,1,332.2,10.23,5.86,1.35,9,3,1,0,1,4,0,1,7,10
16075059,356.3,4.7,355.031289,355.031289,80.2,354,0,1,4,6,22,0,0,0,0,0,0,0,1,260.7,8.02,3.97,2.5,7,2,1,0,1,2,1,0.8,7,10
135411083,471.5,1.2,471.067111,471.067111,197,955,0,3,9,7,32,0,0,0,0,0,0,0,1,342.8,9.33,5.55,2.17,12,6,3,0,0,3,0,1.2,8,10
2811874,369.5,4.5,369.096955,369.096955,108,427,0,1,5,6,25,0,0,0,0,0,0,0,1,286.6,10.99,4.44,1.1,8,2,1,0,1,3,1,1,7,10
135410958,397.4,2.7,397.109627,397.109627,114,631,0,2,6,7,28,0,0,0,0,0,0,0,1,303.2,8.11,5.08,2.54,9,4,2,0,0,3,0,1,8,10
135411084,434.5,2.3,434.104876,434.104876,146,836,0,2,7,7,31,0,0,0,0,0,0,0,1,332.2,8.72,5.61,2.2,10,5,2,0,0,3,0,1,8,10
135411085,462.5,3.3,462.136176,462.136176,146,890,0,2,7,8,33,0,1,0,1,0,0,0,1,359,8.06,7.24,2.3,11,5,2,0,0,3,1,1.2,9,10
135408428,401.9,3.7,401.06009,401.06009,105,619,0,2,5,6,27,0,0,0,0,0,0,0,1,297.6,7.46,5.43,1.62,8,3,2,0,0,3,0,1.4,7,10
135410963,401.9,3.7,401.06009,401.06009,105,609,0,2,5,6,27,0,0,0,0,0,0,0,1,298.2,14.71,3.63,2.03,8,3,2,0,0,3,0,1.2,7,10
2744870,511.1,5.9,510.095096,510.095096,131,638,0,1,7,9,34,0,0,0,0,0,0,0,1,385.3,13.71,6.19,1.88,11,4,1,0,1,4,1,1.4,10,10
135411086,403.4,1.7,403.081362,403.081362,114,613,0,2,9,7,27,0,0,0,0,0,0,0,1,289.1,12.12,3.58,1.43,8,4,2,0,0,2,0,1,9,10
135419065,438.6,5.5,438.208947,438.208947,120,776,0,2,5,8,31,0,0,0,0,0,0,0,1,348.4,9.88,4.88,2.75,9,3,2,0,0,3,1,1.2,10.2,10
135411087,430.4,3.6,430.071131,430.071131,120,794,0,2,8,5,30,0,0,0,0,0,0,0,1,315.9,10.21,5.26,1.14,8,3,2,0,0,3,0,1,7,10
2810524,377.4,2.2,377.07939,377.07939,178,509,0,2,9,7,26,0,0,0,0,0,0,0,1,277.4,9.33,6.02,1.63,11,4,2,1,2,2,0,1,9,10
2918713,357.4,2.8,357.114713,357.114713,97.7,486,0,0,6,5,25,0,1,0,1,0,0,0,1,275,20.66,1.55,1.42,8,4,0,0,1,3,0,0.8,5.6,10
135427623,437.4,2.5,437.07939,437.07939,175,835,0,2,8,6,31,0,0,0,0,0,0,0,1,326.1,8.21,5.67,2.19,12,6,2,1,0,3,0,1,8,10
135411089,410.9,3.7,410.060425,410.060425,120,728,0,2,5,5,28,0,1,0,1,0,0,0,1,308.6,6.68,6.08,2.27,9,3,2,0,0,3,1,0.8,6,10
135411090,424.6,4.9,424.193297,424.193297,120,773,0,2,5,6,30,0,0,0,0,0,0,0,1,336.2,11.61,4.29,2.96,9,3,2,0,0,3,1,1.2,8.2,10
2823615,393.5,4.7,393.151098,393.151098,89.4,474,0,1,5,7,28,0,0,0,0,0,0,0,1,312.6,10.23,5.64,1.2,9,3,1,0,1,3,1,1,8,10
1342108,379.8,4,379.016924,379.016924,80.2,443,0,1,8,4,24,0,0,0,0,0,0,0,1,259.8,8.26,3.45,2.32,6,2,1,0,1,2,0,0.8,6,10
164676,294.3,4.3,294.125594,294.125594,47.3,509,0,0,3,0,22,0,0,0,0,0,0,0,1,230.7,9.71,2.64,0.77,8,3,0,0,0,4,1,0.6,0.8,1
318797,310.3,2.9,310.120509,310.120509,67.5,530,0,1,4,1,23,0,1,0,1,0,0,0,1,237.9,10.44,2.6,0.8,9,4,1,0,0,4,0,0.6,1.8,5
624381,338.4,3.2,338.115424,338.115424,73.6,613,0,0,5,2,25,0,1,0,1,0,0,0,1,256.4,11.58,2.79,0.91,8,4,0,0,0,4,0,0.6,2.8,8
496348,296.4,3.8,296.141245,296.141245,43.4,571,0,0,3,0,22,0,1,0,1,0,0,0,1,232.9,9.46,2.64,0.86,8,3,0,0,0,4,1,0.6,1.4,1
114917,276.3,3.7,276.078644,276.078644,47.3,471,0,0,3,0,21,0,0,0,0,0,0,0,1,216.7,9.25,2.69,0.6,7,3,0,0,0,4,0,0.6,0,1
5316743,278.3,3.2,278.094294,278.094294,43.4,533,0,0,3,0,21,0,1,0,1,0,0,0,1,218.5,8.99,2.69,0.7,7,3,0,0,0,4,0,0.6,0.6,1
160142,282.4,4.9,282.16198,282.16198,34.1,498,0,0,2,1,21,0,0,0,0,0,0,0,1,230.3,9.88,2.42,0.94,7,2,0,0,0,3,2,0.6,1.8,4
2799606,459.2,4.9,457.935397,457.935397,134,697,0,0,9,2,28,0,0,0,0,0,0,0,1,294.4,9.46,3.03,1.97,10,6,0,2,0,2,0,0.8,5,4
2774892,565,7.3,563.814325,561.817275,95.1,777,0,0,6,8,31,0,0,0,0,0,0,0,1,362,20.02,7.05,1.28,6,4,0,0,0,2,0,1,8,10
2819040,284.72,1.5,284.013474,284.013474,120,378,0,2,6,2,18,0,0,0,0,0,0,0,1,195.7,8.18,1.93,1.55,7,2,2,0,1,2,0,0.6,2,2
2797358,365.71,4.7,364.973641,364.973641,88.3,535,0,0,7,2,23,0,0,0,0,0,0,0,1,244.5,9.89,2.84,1.63,7,4,0,1,0,2,0,0.6,4,3
2726174,317.32,2.3,317.047027,317.047027,125,565,0,0,6,2,22,0,0,0,0,0,0,0,1,232.6,8.37,3.47,0.99,9,6,0,1,0,2,0,0.6,3,4
2726176,331.3,2.7,331.062677,331.062677,125,592,0,0,6,2,23,0,0,0,0,0,0,0,1,245.5,9.56,3.52,0.97,9,6,0,1,0,2,0,0.6,3,4
2774667,314.7,1.4,313.97642,313.97642,114,452,0,0,5,2,20,0,0,0,0,0,0,0,1,214.9,9.86,2.15,1.54,8,4,0,2,0,2,0,0.6,3,2
2799801,494.5,4.4,494.126006,494.126006,167,935,0,2,10,12,35,0,0,0,0,2,2,0,1,378.6,35.53,5.33,2.11,12,6,2,0,2,2,0,1.2,12,10
2775844,436.07,3.3,435.84387,433.84592,100,469,0,2,5,3,21,0,0,0,0,0,0,0,1,246.8,10.72,2.44,2.06,10,4,1,1,0,2,2,0.6,3,1
4270495,304.3,1.6,304.040545,304.040545,96.9,505,0,1,5,4,21,0,0,0,0,0,0,0,1,223.6,5.3,3.11,1.54,8,5,0,1,0,2,0,0.6,4,10
70871,308.27,2.5,308.010307,308.010307,134,447,0,0,6,2,21,0,0,0,0,0,0,0,1,217.9,11.23,2.3,1.5,10,6,0,2,0,2,0,0.6,4,1
2799800,588.6,5.4,588.177766,588.177766,172,946,0,2,12,18,41,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
2822496,363.3,4.6,363.028932,363.028932,97.1,554,0,1,8,5,25,0,0,0,0,0,0,0,1,260.5,22.7,2.99,1.15,7,1,1,0,2,3,0,0.8,4,10
3776668,401.32,3.3,401.040559,401.040559,147,592,0,1,10,3,27,0,0,0,0,0,0,0,1,273.3,18.53,3.07,1.16,10,5,1,1,0,3,0,0.8,6,10
2742278,365.5,3.9,365.086784,365.086784,125,544,0,2,6,5,24,0,0,0,0,0,0,0,1,270.6,20.77,2.43,1.06,10,4,2,0,0,3,1,0.8,5,10
2819269,413.9,4.2,412.972933,412.972933,154,578,0,2,6,5,25,0,0,0,0,0,0,0,1,285.1,9.94,5.26,1.55,10,4,2,0,0,3,1,0.8,6,10
2820775,300.4,4.1,300.093249,300.093249,94.3,470,0,1,5,3,21,0,0,0,0,0,0,0,1,233.1,11.18,3.35,0.91,9,3,1,0,1,3,1,0.6,3.6,10
4398304,360.4,2.7,360.046316,360.046316,159,537,0,0,7,3,24,0,0,0,0,0,0,0,1,263.4,6.05,4.32,1.99,10,5,0,1,0,3,1,0.8,4,8
2809433,361.9,4.1,360.912641,360.912641,140,441,0,0,6,4,20,0,0,0,0,0,0,0,1,242.9,16.25,2.41,0.88,6,3,0,0,0,3,0,0.6,4,10
4305683,334.4,3.9,334.055818,334.055818,132,409,0,1,6,4,22,0,0,0,0,0,0,0,1,245.1,17.42,2.01,1.17,9,3,1,1,1,3,0,0.8,5,10
23644661,212.3,1.2,212.007805,212.007805,95.9,242,0,0,5,3,13,0,0,0,0,0,0,0,1,155.1,8.77,1.21,0.97,5,3,0,0,0,2,0,0.6,3.6,10
16203797,334.1,4.6,332.995948,332.995948,52.3,388,0,0,4,4,22,0,0,0,0,0,0,0,1,240.4,19.69,1.76,1.12,6,3,0,0,0,3,0,0.6,4,10
16204418,344.7,3.8,344.019999,344.019999,98.2,464,0,0,6,4,24,0,0,0,0,0,0,0,1,249.3,21.52,1.86,1.08,9,5,0,1,0,3,0,0.8,5,10
16204323,379.1,4.4,377.981027,377.981027,98.2,503,0,0,6,4,25,0,0,0,0,0,0,0,1,264.7,15.1,2.67,1.65,9,5,0,1,0,3,0,1,5,10
16204417,344.7,3.8,344.019999,344.019999,98.2,472,0,0,6,4,24,0,0,0,0,0,0,0,1,248.5,13.76,2.51,1.61,9,5,0,1,0,3,0,1,5,10
16203799,344.7,3.8,344.019999,344.019999,98.2,472,0,0,6,4,24,0,0,0,0,0,0,0,1,248.9,18.56,2.61,1.09,9,5,0,1,0,3,0,1,5,10
16203906,234.64,1.8,234.019605,234.019605,52.1,244,0,0,4,3,16,0,0,0,0,0,0,0,1,171.8,10.32,1.46,1.02,5,3,0,0,0,2,0,0.6,3,10
16204423,234.64,1.8,234.019605,234.019605,52.1,250,0,0,4,3,16,0,0,0,0,0,0,0,1,171.9,10.41,1.33,1.15,5,3,0,0,0,2,0,0.6,3,10
16202740,268.09,3.5,266.985384,266.985384,39.2,267,0,0,3,3,17,0,0,0,0,0,0,0,1,190.8,12.49,1.44,1.02,4,2,0,0,0,2,0,0.6,3,10
16204115,278.65,2.8,278.009434,278.009434,85,347,0,0,5,3,19,0,0,0,0,0,0,0,1,199.4,9.78,2.36,0.96,7,4,0,1,0,2,0,0.6,4,10
16202858,278.65,2.7,278.009434,278.009434,85,347,0,0,5,3,19,0,0,0,0,0,0,0,1,199.5,13,1.67,1.06,7,4,0,1,0,2,0,0.6,4,10
16203908,283.71,4.1,283.040006,283.040006,39.2,349,0,0,3,3,20,0,0,0,0,0,0,0,1,214.2,11.28,2.68,0.85,5,2,0,0,0,3,0,0.6,3,10
10804277,301.68,3.1,301.014185,301.014185,65.5,465,0,0,5,3,21,0,0,0,0,0,0,0,1,218,14.58,1.62,1.02,6,3,0,0,0,3,0,0.6,3,10
58589722,309.34,-0.4,309.078327,309.078327,95.2,548,0,1,6,2,21,0,0,0,0,0,0,0,1,224,8.91,2.56,1.68,9,4,1,0,1,3,0,0.6,3.4,10
73056465,419.9,1.8,419.070655,419.070655,95.2,717,0,1,6,4,28,0,0,0,0,0,0,0,1,303.6,14.21,4.61,1.82,10,4,1,0,1,4,0,0.8,5.4,10
73056466,475.5,1.1,475.141321,475.141321,123,810,0,1,9,7,33,0,0,0,0,0,0,0,1,351.5,15.91,5.25,1.9,13,7,1,0,1,4,0,1.2,8.4,10
73056467,399.5,1.6,399.125277,399.125277,95.2,691,0,1,6,5,28,0,0,0,0,0,0,0,1,300.7,19.41,3.82,1.61,10,4,1,0,1,4,0,0.8,6.4,10
73056760,389.4,0.2,389.068156,389.068156,125,740,0,1,7,3,27,0,0,0,0,0,0,0,1,279.6,10.92,4.63,1.72,11,6,1,0,0,4,0,0.8,5.4,10
73056761,372.4,0.7,372.089226,372.089226,108,669,0,1,7,3,26,0,0,0,0,0,0,0,1,272.4,13.4,3.58,1.7,11,5,1,0,1,4,0,0.8,4.4,10
4117383,294.33,0.6,294.067428,294.067428,91.9,519,0,1,5,2,20,0,0,0,0,0,0,0,1,213.9,8.29,2.22,1.69,8,4,1,0,0,3,0,0.6,3.4,10
8027611,296.3,-0.6,296.046693,296.046693,101,521,0,1,6,2,20,0,0,0,0,0,0,0,1,210,8.03,2.17,1.72,9,5,1,0,0,3,0,0.6,3.4,10
4117477,308.35,1.1,308.083078,308.083078,91.9,546,0,1,5,2,21,0,0,0,0,0,0,0,1,226.6,9.12,2.56,1.67,8,4,1,0,0,3,0,0.6,3.4,10
73056762,308.35,1.1,308.083078,308.083078,91.9,554,0,1,5,2,21,0,1,0,1,0,0,0,1,226.3,10.25,1.91,1.56,8,4,1,0,0,3,0,0.6,3.4,10
76320984,322.4,1.5,322.098728,322.098728,91.9,573,0,1,5,2,22,0,2,0,2,0,0,0,1,239.4,9.3,2.65,1.63,8,4,1,0,0,3,0,0.6,3.4,10
73056763,323.37,-0.5,323.093977,323.093977,86.4,577,0,0,6,2,22,0,0,0,0,0,0,0,1,237.2,9.38,2.48,1.93,8,4,0,0,1,3,0,0.6,3.4,10
73056764,399.5,1.4,399.125277,399.125277,86.4,706,0,0,6,4,28,0,0,0,0,0,0,0,1,300.7,11.23,4.34,2.01,9,4,0,0,1,4,0,0.8,5.4,10
4614896,310.33,-0.6,310.062343,310.062343,92.4,549,0,0,6,2,21,0,0,0,0,0,0,0,1,222.8,8.68,2.11,1.89,8,5,0,0,0,3,0,0.6,3.4,10
4378077,386.4,1.2,386.093643,386.093643,92.4,677,0,0,6,4,27,0,0,0,0,0,0,0,1,285.9,10.98,3.84,1.88,9,5,0,0,0,4,0,0.8,5.4,10
73057090,398.5,2.8,398.130028,398.130028,83.1,702,0,0,5,4,28,0,0,0,0,0,0,0,1,302.9,11.4,4.4,2.01,8,4,0,0,0,4,0,0.8,5.4,10
73057089,322.4,1,322.098728,322.098728,83.1,575,0,0,5,2,22,0,0,0,0,0,0,0,1,239.9,9.68,2.48,1.9,7,4,0,0,0,3,0,0.6,3.4,10
73057388,412.5,3.3,412.145678,412.145678,83.1,730,0,0,5,4,29,0,2,0,2,0,0,0,1,316.6,11.98,4.05,2.27,8,4,0,0,0,4,0,0.8,5.4,10
73056765,449.5,2.6,449.140927,449.140927,86.4,833,0,0,6,4,32,0,0,0,0,0,0,0,1,340,12.52,5.78,2.04,10,4,0,0,1,5,0,0.8,5.4,10
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73055922,512.6,3.6,512.151826,512.151826,99.3,960,0,0,7,5,37,0,0,0,0,0,0,0,1,388.4,13.44,8.28,2.42,12,5,0,0,1,6,0,1.2,6.4,10
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73057088,436.5,2.4,436.109293,436.109293,92.4,803,0,0,6,4,31,0,0,0,0,0,0,0,1,325.6,12.53,5.21,1.89,10,5,0,0,0,5,0,0.8,5.4,10
73057091,448.5,4.1,448.145678,448.145678,83.1,829,0,0,5,4,32,0,0,0,0,0,0,0,1,342.7,12.56,5.93,2.04,9,4,0,0,0,5,0,0.8,5.4,10
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44398160,281.27,1.4,281.080041,281.080041,87.2,512,0,0,5,2,21,0,0,0,0,0,0,0,1,215.4,8.09,3.27,1.01,7,4,0,0,0,3,0,0.6,2.2,10
44398002,415.58,3.8,414.92723,414.92723,37.4,449,0,0,3,2,21,0,0,0,0,0,0,0,1,240,8.68,3.27,1.51,6,2,0,0,0,3,1,0.6,2.2,10
44398167,421.18,3,420.9811,420.9811,55.8,499,0,0,4,2,23,0,1,0,1,0,0,0,1,252.9,11.8,2.6,1.89,9,4,0,0,0,4,1,0.6,3,10
44398055,293.3,3.4,293.05105,293.05105,65.6,452,0,0,3,2,21,0,0,0,0,0,0,0,1,226,9.97,2.57,1.47,6,2,0,0,0,4,0,0.6,2.2,10
44398343,338.3,3.3,338.036128,338.036128,111,563,0,0,5,2,24,0,0,0,0,0,0,0,1,249.5,9.22,2.66,1.84,9,4,0,1,0,4,0,0.6,3.2,9
11667869,372.2,4.1,370.96156,370.96156,65.6,485,0,0,3,2,22,0,0,0,0,0,0,0,1,247.1,9.72,2.51,1.82,7,2,0,0,0,4,1,0.6,2.2,10
44398207,311.3,3.5,311.041628,311.041628,65.6,485,0,0,4,2,22,0,0,0,0,0,0,0,1,234.2,10.33,2.8,1.48,6,2,0,0,0,4,0,0.6,2.2,10
11796320,419.2,4.1,418.9477,418.9477,65.6,485,0,0,3,2,22,0,0,0,0,0,0,0,1,252.2,11.38,3.28,1.33,7,2,0,0,0,4,1,0.6,2.2,10
44398344,327.8,4.1,327.012077,327.012077,65.6,485,0,0,3,2,22,0,0,0,0,0,0,0,1,241.3,10.87,2.49,1.62,6,2,0,0,0,4,0,0.6,2.2,10
44398231,445.3,4.7,444.96335,444.96335,65.6,552,0,0,3,3,24,0,0,0,0,1,1,0,1,276.4,15.95,3.55,1.59,7,2,0,0,0,4,1,0.6,3.2,10
44398546,522.7,4.6,521.93019,521.93019,94.7,643,0,1,4,4,28,0,0,0,0,0,0,0,1,321.2,20.87,4.34,1.21,9,3,1,0,0,4,1,0.8,5.2,10
44398436,480.3,3.4,480.00046,480.00046,85.9,595,0,0,4,3,26,0,0,0,0,0,0,0,1,298.4,12.09,5,1.16,8,3,0,0,0,4,1,0.8,5.4,10